timestamp,return
2025-06-30 00:00:00+00:00,-0.002014098894883687
2025-07-31 00:00:00+00:00,-0.08676978487064368
2025-08-31 00:00:00+00:00,-0.03698408981894463
2025-09-30 00:00:00+00:00,-0.030980594985645316
2025-10-31 00:00:00+00:00,-0.05677331501608285
2025-11-30 00:00:00+00:00,-1.934355299826329e-06
2025-12-31 00:00:00+00:00,-2.7415819491283244e-06
2026-01-31 00:00:00+00:00,-2.5072337852538595e-06
2026-02-28 00:00:00+00:00,-7.452281319819676e-07
2026-03-31 00:00:00+00:00,-3.6827440963449476e-07
2026-04-30 00:00:00+00:00,-1.2610613213670518e-06
2026-05-31 00:00:00+00:00,1.3131422058609843e-06
